	TRAVELRES13	TRAVELRES35	TRAVELRES37	TRAVELRES39	TRAVELRES57	TRAVELRES59	TRAVELRES63	TRAVELRES65	TRAVELRES67	TRAVELRES47	TRAVELRES23	TRAVELRES70	TRAVELRES21	TRAVELRES27	TRAVELRES1	TRAVELRES3	TRAVELRES5	TRAVELRES17	TRAVELRES19	TRAVELRES25	TRAVELRES41	TRAVELRES43	TRAVELRES45	TRAVELRES55	TRAVELRES7	TRAVELRES11	TRAVELRES15	TRAVELRES29	TRAVELRES31	TRAVELRES33	TRAVELRES61	TRAVELRES9	TRAVELRES53	TRAVELRES49	TRAVELRES51	TRAVELRES14	TRAVELRES36	TRAVELRES38	TRAVELRES40	TRAVELRES58	TRAVELRES60	TRAVELRES64	TRAVELRES66	TRAVELRES68	TRAVELRES48	TRAVELRES24	TRAVELRES69	TRAVELRES22	TRAVELRES28	TRAVELRES2	TRAVELRES4	TRAVELRES6	TRAVELRES18	TRAVELRES20	TRAVELRES26	TRAVELRES42	TRAVELRES44	TRAVELRES46	TRAVELRES56	TRAVELRES8	TRAVELRES12	TRAVELRES16	TRAVELRES30	TRAVELRES32	TRAVELRES34	TRAVELRES62	TRAVELRES10	TRAVELRES54	TRAVELRES50	TRAVELRES52
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.13007	0.11452	0	0.02247	0.00205	0.30831	0.43211	1.03936	0.07943	0.15277	0	0.73174	0.19968	0.1628	0.50999	0.23763	0.26987	0.27463	0	0.00671	0.16606	0.19411	0.1067	0.54604	0.08316	0.08994	0.82213	0.25395	0.06716	0.34192	0.13592	0.77843	0.03656	0.07471	0.88949	0.91901	0.12154	0	0.16914	0.03803	0.19766	0.34902	0.23772	0.00031	0.16728	0.78006	0.30699	0.5353	0.07211	0.31767	0.49395	0.56702	0.20179	0.11956	0.11301	0.03826	0.06624	0.22161	0.12188	0.03478	0.03955	0.04888	0.16207	0.12404	0.6011	0.28912	0.48342	0.64736	0.03775	0.49547
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.05982	0.81419	0.0415	0.40486	0.22794	0.32856	1.37578	2.21107	0.61375	1.98389	1.21301	3.8784	0.0142	0.3549	3.34636	0.26329	0.60552	1.94919	0.00068	0.11384	2.0026	1.51738	0.42474	2.27739	1.88842	0.74944	5.36587	0.24219	0.25411	0.39629	2.6143	0.21992	0.37278	1.29046	1.51019	0.28365	2.84355	0.0517	4.29202	1.59472	0.69937	1.13764	4.73104	0.66609	1.60507	1.04779	1.66781	0.04235	0.34602	1.70584	0.25989	0.66024	1.3992	0.10282	0.95581	0.71616	0.61411	0.69555	1.98361	5.45302	2.08216	5.61709	1.59625	0.25643	0.39724	1.3166	2.03753	1.3005	0.97944	3.66459
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.025	0	0	0.4637	0.04284	0.03156	0.05607	0.76525	0	0.00031	0	0.01134	1.06747	0.09023	0.76876	0	0.06336	1.07148	0.11394	0.09102	0	0.00594	0.02865	0.06566	0.07008	0.28591	0.92426	0.29213	0.00187	0.00557	0	2.3331	6.6354	0	0.19243	0.24113	0.0731	0.18712	0.40523	0	0.00377	0.00255	0.03503	0	0.01935	0	0.02648	0.01911	0.04221	0.05566	0.43729	0.16437	0.96612	0	0.57834	0.00502	0.02813	0	0.00436	0.00972	0.00207	0.88863	0	0	0	0	0.16842	1.61674	0	0.03701
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00702	32.11793	1.22635	35.23628	63.07246	0.86942	0.05457	0.1682	0.10645	2.68404	0.0641	0.06807	9.65583	5.4828	1.33635	23.0232	0.22627	0.02806	0.04427	63.15789	0.0442	1.44941	36.28505	0.04491	1.16316	19.61676	0.05282	11.6322	0.03498	0.01588	0.00645	0.59835	0.04852	67.69775	9.52365	0.03037	0.82583	0.00769	2.55045	28.86104	1.14456	0	42.85978	1.30141	2.20154	0.00818	42.87965	30.99417	23.57233	0.1106	1.49137	12.70568	1.59771	1.7205	2.96704	55.04851	0.2203	1.64159	0.52026	1.28338	2.41908	0.05876	0.12445	0.00114	0	0.23831	24.76818	0.74214	12.21695	0.01792
k__Bacteria|p__Chlorobi|c__Chlorobia	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	73.83698	31.86553	61.04301	27.3925	9.58007	48.16343	66.09115	58.65696	25.00998	54.25946	55.49719	60.88368	39.75603	30.93889	59.96544	35.65605	66.671	34.6258	41.0468	18.09191	43.97066	58.81989	41.70145	61.58026	29.32947	23.15399	61.71103	48.54792	58.50052	38.78546	55.23716	23.42106	74.32234	19.61333	61.84468	65.16827	58.40048	31.93607	65.90092	46.16566	38.07059	68.14938	38.9087	61.64103	66.88879	70.61886	34.60049	45.57055	42.08114	36.70341	37.24699	40.12203	53.48181	37.82471	39.1959	20.06083	17.25956	43.66171	63.42922	36.80534	47.05044	37.83407	66.60529	78.08809	75.72721	73.5826	24.78975	75.05069	46.4085	66.65902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	21.4291	32.71002	36.82488	30.5473	24.68889	49.30336	29.10301	36.12654	64.25631	36.56194	37.42801	30.31895	48.63105	58.9002	23.69359	34.27068	24.21601	59.15164	53.2896	17.50149	50.51072	32.44022	19.70713	30.69114	63.95716	53.094	27.48006	37.33046	26.79652	56.2421	36.21933	59.79952	12.32605	9.86901	24.8578	26.62858	35.32486	63.99876	19.68479	20.53126	57.16621	21.79662	11.553	31.73954	28.51958	22.30744	18.3884	21.53639	32.9941	54.48384	53.38412	31.9184	38.88615	55.23673	52.13213	21.15576	78.19679	52.69786	28.17237	43.37624	44.97141	54.50473	23.68999	19.09215	13.31893	14.79564	45.21954	17.80622	37.85806	16.53137
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	3.63612	1.62976	0.39861	1.23752	0.05198	0.1539	0.04049	0.15197	3.27304	0.10574	4.72945	1.78118	0.04713	2.70219	8.94504	3.38291	6.28946	1.75466	2.25942	0.11323	1.15641	4.29357	1.3143	2.65404	0.43739	0.09267	0.83574	0.24191	10.21259	1.97283	2.33134	0.33841	0.127	0.12456	0.07257	4.57287	1.76332	0.61757	4.2141	0.23873	0.32767	0.01308	0.95348	2.82567	0.05709	3.82173	1.03887	0.24355	0.2989	3.93895	2.49588	11.45141	0.93454	0.24739	0.32013	0.83223	2.74985	0.20028	2.56993	5.05853	0.65121	0.10417	5.69999	0.61528	4.34906	0.04967	1.00406	1.51945	0.05589	0.35626
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.332	0.01112	0.04967	0.16796	0.00909	0.05366	1.10377	0.22426	3.66205	3.19515	0.03653	0.03499	0.08947	0.07834	0.26267	0.01432	0.02847	0.07273	0.01807	0.00856	0.5433	0.03739	0.00696	0.03651	0.04655	0.02179	0.01047	0.0255	1.09748	0.01634	0.22713	0.22958	0.04662	0.45029	0.02859	0.56972	0.00352	0.01404	0.36434	0.00316	0.03319	1.07779	0.0185	0.14085	0.3966	0.055	0.01518	0.06215	0.02547	0.12607	0.02286	0.31736	0.10896	0.18393	0.02568	0.26682	0.02618	0.01343	0.02968	0.04023	0.04374	0.01385	0.1761	0.52119	0.50444	1.06578	0.01093	0.05447	1.48643	0.00848
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.19856	0.06412	0.00755	0.07968	0.13641	0.3773	0.03166	0.12444	0.05001	0.31767	0.25278	0.46536	0.28525	0.09582	0.14481	1.21152	0.23992	0.10423	0.07688	0.03949	0.1305	0.16904	0.09038	0.48102	1.99048	0.35187	0.19285	0.12954	0.5789	0.24776	0.17306	0.01434	0.21502	0.07369	0.05664	0.10984	0.04383	0.09152	0.11109	0.10072	1.41134	0.07343	0.17169	0.01527	0.02969	0.21807	0.27316	0.20683	0.06091	0.45641	0.45497	0.02581	0.16271	1.85158	0.11047	0.38947	0.0439	0.28398	2.05673	1.20544	1.64388	0.24194	0.93412	0.11239	0.01753	0.09154	0.09516	0.06257	0.05907	0.13002
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.18741	0.01341	0.31641	0.21539	0.17642	0.14444	0.68396	0.26317	0.05831	0.03635	0.03609	1.48273	0.00313	0.5343	0.26906	1.39747	0.12234	0.54645	0.47325	0.63923	0.93855	0.07272	0.11325	0.61112	0.50841	0.04975	2.07336	0.05085	1.14756	0.0853	0.13569	0.00359	0.00165	0.38641	0.15109	0.67766	0.13601	2.55152	0.96873	0.19444	0.72176	0.20968	0.44232	0.0926	0.01964	0.00573	0.53069	0.01474	0.09335	0.27274	0.29567	0.31922	0.88813	1.76043	1.18359	1.24379	0.51911	0.2815	0.31952	5.45034	0.35669	0.43096	0.19348	0.00561	0.00093	0.09613	0.11169	0	0.0147	0.38328
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.13007	0.11452	0	0.02247	0.00205	0.30831	0.43211	1.03936	0.07943	0.15277	0	0.73174	0.19968	0.1628	0.50999	0.23763	0.26987	0.27463	0	0.00671	0.16606	0.19411	0.1067	0.54604	0.08316	0.08994	0.82213	0.25395	0.06716	0.34192	0.13592	0.77843	0.03656	0.07471	0.88949	0.91901	0.12154	0	0.16914	0.03803	0.19766	0.34902	0.23772	0.00031	0.16728	0.78006	0.30699	0.5353	0.07211	0.31767	0.49395	0.56702	0.20179	0.11956	0.11301	0.03826	0.06624	0.22161	0.12188	0.03478	0.03955	0.04888	0.16207	0.12404	0.6011	0.28912	0.48342	0.64736	0.03775	0.49547
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.07242	0.23894	0.05658	0.82969	0.2747	0.0509	0.21291	0.04678	1.63321	0.22612	0.4124	0.09598	0.15532	0.37574	0.19934	0.03456	0.22283	0.07467	0.48331	0.02784	0.1246	0.17027	0.03169	0.1817	0.07197	0.04807	0.21204	0.18228	0.17712	0.43424	0.22817	0.6716	0.13323	0.00935	0.03198	0.07234	0.06058	0.00359	0.17514	0.17224	0.06359	1.31195	0.01644	0.09271	0.02486	0.51321	0.06795	0.29907	0.21087	0.02153	0.12417	0.2931	0.07242	0.42511	0.14249	0.07631	0.08071	0.07143	0.08866	0.26535	0.01008	0.13036	0.19854	0.17346	0.38214	0.35083	0.23378	0.08684	0.20594	0.00953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.06722	0.3145	0	3.39545	1.72854	0.05914	0.32057	0.1428	1.23469	0.39318	0.23102	0.16106	0.05452	0.05446	0.18676	0.4587	1.02969	0.10324	2.14499	0.1693	0.31137	0.81984	0.07019	0.61989	0.28038	1.78471	0.23313	0.4803	1.07016	1.43572	2.62409	1.64398	0.45427	0.06237	0.648	0.02933	0.38978	0	1.1274	1.32362	0.11793	4.98677	0.0158	0.02169	0.02409	0.59996	0.07669	0.33042	0.01106	0.00441	1.26285	0.54317	0.18735	0.31118	0.31716	0.09617	0.1159	0.05147	0.55378	0.22323	0.59628	0.03359	0.09898	0.97421	2.48791	7.03131	0.60586	0.46108	0.23047	0.16594
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.05982	0.81419	0.04089	0.40486	0.22457	0.3234	1.37578	2.21107	0.61375	1.97202	1.21301	3.84249	0.0112	0.3549	3.34636	0.26329	0.60552	1.94919	0	0.11188	2.0026	1.51308	0.41129	2.26699	1.88781	0.74681	5.36587	0.24219	0.25411	0.39629	2.60807	0.21992	0.37278	1.29046	1.51019	0.28365	2.84355	0.05085	4.29202	1.58625	0.69937	1.13764	4.73053	0.66609	1.59224	1.04779	1.66017	0.04182	0.34602	1.70584	0.25989	0.66024	1.39812	0.10282	0.95581	0.71616	0.61411	0.69247	1.97303	5.44267	2.0762	5.61709	1.59625	0.25643	0.39724	1.31361	2.03753	1.3005	0.97944	3.66359
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.025	0	0	0.4637	0.04284	0.03156	0.05607	0.76525	0	0.00031	0	0.01134	1.06747	0.09023	0.76876	0	0.06336	1.07148	0.11394	0.09102	0	0.00594	0.02865	0.06566	0.07008	0.28591	0.92426	0.29213	0.00187	0.00557	0	2.3331	6.6354	0	0.19243	0.24113	0.0731	0.18712	0.40523	0	0.00377	0.00255	0.03503	0	0.01935	0	0.02648	0.01911	0.04221	0.05566	0.43729	0.16437	0.96612	0	0.57834	0.00502	0.02813	0	0.00436	0.00972	0.00207	0.88863	0	0	0	0	0.16842	1.61674	0	0.03701
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0172	0.00032	0.00071	0.00364	0.00053	0.00553	0.00469	0	0.00681	0.00467	0.00089	0.00533	0.00162	0.00235	0.00097	0.02958	0.00337	0.00902	0.00118	0.00106	0.00214	0	0.02185	0.01147	0.01239	0	0.00877	0	0	0	0.00467	0.00106	0.00349	0.00744	0	0.0151	0.00265	0	0.00044	0.00016	0.00923	0	0	5e-05	0.00019	0	0.01366	0.00238	0.00759	0.0062	0.01636	0	0.00677	0.00352	0.0079	0.00256	0.00075	0.02839	0.03721	0.00201	0.00034	0.00879	0.00087	0	0.00024	0.00605	0.00458	0	0.00736	0.00136
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	0.00702	0.00903	0.00524	0.012	0.00104	0.02752	0.05457	0.01222	0.00549	0.12702	0.00087	0.00453	0.00164	7e-04	0	0.02118	0.00098	0.00261	0.00083	0.00053	0.00193	0.00175	0.00525	0	0.01045	0.01111	0.05282	0.00687	0.03357	0.00061	0.00645	0	0.0037	0.00224	0	0.00904	0.00229	0.00769	0.00353	0.00489	0.01104	0	0.00468	0.00938	0	0.00818	0.00388	0.00106	0.02468	0	0.00439	0	0	0	0.01021	0.00103	0.00284	0	0.00128	1.28176	0.02679	0.04142	0.04393	0.00114	0	0.00536	0.00513	0.00115	0.00072	0.01792
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00038	0	0	0	8e-05	0.00331	0	0	9e-05	0	0	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0.00082	0.00354	0	0.00084	0	0	0	0	0	0	0	0	0	0	0.00408	0	0	0	0	0	0	0	0.00299	0	0	0	0	0.00105	0	0	0.00063	0	0.00035	0.03419	0.00168	0	0	1e-04	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	66.03389	0	0.00447	3.71295	0	0.00075	42.00866	0	14.40063	1.65805	0	0.01473	0	0	22.53295	0	53.624	12.86539	0.00762	0.42243	0.07835	1.56887	0.00022	10.95436	1.38177	0	0.01098	1.38756	1.36601	0.00015	0.71375	0.05703	0.0045	0.00318	6e-04	30.86803	0	0.0031	30.43335	0.00036	0.00681	51.75477	0.00035	55.20867	4.88168	0.00791	0	0.00881	0.00076	11.55072	0	2.98227	33.69188	10.40592	0.06704	0.00085	1.23057	0	25.78971	0.76268	2e-04	0.00404	44.45133	0.00157	0.00541	1.29921	1.06523	0.00754	0.0776	0.00149
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	12.02311	17.16256	19.91995	3.58399	4.27914	11.33719	4.59107	14.27841	15.92717	18.30973	9.56185	8.33567	8.22082	7.10499	5.12525	9.10191	2.00307	3.50006	18.28681	9.13149	14.92031	10.74711	1.57036	8.96	16.32982	6.69047	1.52239	5.4228	5.49091	9.71711	2.02769	19.55422	1.75402	1.58925	2.68856	5.99778	5.75251	28.18044	3.65893	3.23364	14.62758	10.72073	3.55713	8.40788	14.87225	6.306	3.70359	4.55689	4.20162	36.31274	11.77197	2.94839	5.93692	10.97579	14.28289	9.48883	17.7932	8.26127	6.42103	9.08753	5.39222	4.91004	2.39259	14.23666	1.48083	1.8724	2.00307	3.35926	6.03411	2.64156
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	5.42255	9.28307	11.1589	16.03404	9.75302	17.38775	21.65301	11.92886	30.50901	14.09223	22.56517	12.29138	15.30116	27.16531	17.00408	15.78794	19.74712	32.55464	25.30961	5.75432	21.7406	7.77241	9.51317	14.17996	7.81078	34.10304	18.22941	17.23415	5.81744	9.01809	7.47635	33.44885	2.1021	6.87232	15.62987	17.56133	20.63417	18.13466	10.47829	4.95233	27.7734	7.67803	5.59929	6.53338	9.48027	11.01017	7.86722	11.62859	18.74813	14.19938	27.64232	28.09539	19.86536	24.60713	27.05318	4.80279	15.18193	10.65392	15.17905	17.24619	23.02061	17.39333	16.46752	3.68759	8.53741	7.1899	34.20433	6.57351	16.35788	10.58031
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	3.77243	5.37173	5.5477	5.52767	10.54068	19.54181	1.46518	8.50521	17.64079	2.23967	4.74265	9.42686	18.65224	24.3325	1.20144	9.05615	1.0694	22.93965	7.70298	2.50287	13.35431	13.80356	7.18787	7.18804	38.4153	6.77426	5.88108	14.31507	13.14062	36.31906	26.61938	5.05226	6.71781	1.32844	5.72664	0.92136	6.75504	17.59757	3.6512	12.08444	14.18761	1.16635	2.2148	16.68087	4.05821	4.65987	6.29515	3.92703	9.92991	3.84736	13.26858	0.44555	12.95788	19.51952	10.52351	6.75796	45.12314	16.46464	6.41281	14.85115	14.69248	23.54175	2.28411	0.12743	0.09321	5.49461	7.66526	3.80234	15.40061	3.0901
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	3.5831	0	0	0.00032	0	0.00172	0	0	3.27031	0.00293	0	0	0	0.00247	0	0	0	0.0027	0	0	0	0	0.00034	0.00211	0	0	0.00147	0	0	0	0.00041	0.33344	0	0.00047	0.00101	4.53528	0	0	0	0	0	0	0.00039	2.78059	0	0	0	0	0	0.00041	0	0	0.00041	0	0	0.00061	0	0	0	0.00154	0	0	0	0	0	0.00061	0.88624	0	0.00259	0.00082
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	3.4793	22.37507	33.9556	10.53066	8.83838	38.91391	19.27421	41.63703	5.08858	42.4921	30.03195	45.24356	14.77709	17.34635	6.8628	18.59835	3.63735	9.05185	23.78094	11.66921	29.90583	50.98604	18.49385	30.76471	18.8963	7.8482	31.96137	27.87935	40.28802	30.95283	38.24617	8.03558	53.06695	4.26228	45.38317	10.13596	36.98307	22.26222	15.25311	43.48452	28.45776	12.34643	28.80519	5.59776	48.38835	36.70257	24.89198	28.67118	24.21514	6.00053	22.63708	10.62779	9.71923	18.93453	29.27717	13.91096	13.97364	13.74336	19.59213	31.86216	18.4773	13.22218	6.1123	45.3834	58.87985	45.67096	7.04555	41.03851	25.91422	55.58344
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.75823	3.72136	27.08225	8.96455	0.06969	2.88027	0.86182	8.01979	4.19153	1.38579	15.2535	8.57024	18.04808	8.40469	9.52259	7.33315	4.05759	4.9417	11.63282	2.98175	6.2797	1.14097	7.23882	10.6128	5.47797	10.75371	18.9052	10.94978	8.17913	4.07195	9.56706	12.37132	19.20368	8.47954	6.33401	18.18938	9.83524	9.46463	12.19229	0.15	3.43777	0.53503	6.52085	0.26304	0.79889	21.39482	4.92327	9.40545	12.47435	9.59875	9.55567	14.03481	5.29832	3.90659	4.60009	2.62442	0.33304	12.65199	7.34527	1.14154	14.26048	14.37532	5.06925	14.24236	8.17868	15.76303	11.72114	23.29384	9.71552	2.20749
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.56556	5.22774	0.00069	2.96803	0.61848	6.05868	3.75992	8.10108	1.29674	8.5125	9.80428	7.05516	6.93086	4.27624	17.66889	8.58642	4.91421	7.64043	5.62542	2.57791	7.0557	4.33573	12.24032	9.14357	3.24691	3.63587	10.83348	8.15665	8.63929	3.2643	5.58513	1.55537	1.75514	6.83276	10.12678	5.9749	10.67867	0.20612	6.53547	2.26164	5.88208	3.40859	2.90203	0.56534	12.76206	10.88334	4.78524	7.48512	5.29316	8.9918	4.33645	10.45058	4.67065	4.57767	4.98147	3.47686	1.51542	15.36682	10.48618	2.97375	13.88403	10.23253	10.13806	18.46076	8.45661	8.91636	2.69323	9.17293	9.68627	8.8666
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.332	0.01112	0.04967	0.16796	0.00909	0.05366	1.10377	0.22426	3.66205	3.19515	0.03653	0.03499	0.08947	0.07834	0.26267	0.01432	0.02847	0.07273	0.01807	0.00856	0.5433	0.03739	0.00696	0.03651	0.04655	0.02179	0.01047	0.0255	1.09748	0.01634	0.22713	0.22958	0.04662	0.45029	0.02859	0.56972	0.00352	0.01404	0.36434	0.00316	0.03319	1.07779	0.0185	0.14085	0.3966	0.055	0.01518	0.06215	0.02547	0.12607	0.02286	0.31736	0.10896	0.18393	0.02568	0.26682	0.02618	0.01343	0.02968	0.04023	0.04374	0.01385	0.1761	0.52119	0.50444	1.06578	0.01093	0.05447	1.48643	0.00848
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.18741	0.01341	0.31641	0.21539	0.17642	0.14444	0.68396	0.26317	0.05831	0.03635	0.03609	1.48273	0.00313	0.5343	0.26906	1.39747	0.12234	0.54645	0.47325	0.63923	0.93855	0.07272	0.11325	0.61112	0.50841	0.04975	2.07336	0.05085	1.14756	0.0853	0.13569	0.00359	0.00165	0.38641	0.15109	0.67766	0.13601	2.55152	0.96873	0.19444	0.72176	0.20968	0.44232	0.0926	0.01964	0.00573	0.53069	0.01474	0.09335	0.27274	0.29567	0.31922	0.88813	1.76043	1.18359	1.24379	0.51911	0.2815	0.31952	5.45034	0.35669	0.43096	0.19348	0.00561	0.00093	0.09613	0.11169	0	0.0147	0.38328
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.17808	0.06358	0.00556	0.07144	0.12133	0.36451	0.03008	0.12068	0.04896	0.07602	0.25231	0.44358	0.126	0.0516	0.13981	1.1678	0.0694	0.09423	0.07367	0.0316	0.12722	0.16858	0.07548	0.44928	1.96547	0.3331	0.19119	0.12189	0.51307	0.23466	0.17029	0.01372	0.14007	0.07042	0.05634	0.10604	0.04383	0.08794	0.11029	0.06562	1.28734	0.05014	0.1512	0.01474	0.02969	0.1866	0.15193	0.20343	0.05636	0.44558	0.39466	0.00261	0.14837	1.00927	0.0987	0.37462	0.04169	0.27296	2.03271	0.73155	1.23535	0.23725	0.79726	0.11239	0.01515	0.08804	0.05895	0.0373	0.05506	0.1119
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.13007	0.11452	0	0.02247	0.00205	0.30831	0.43211	1.03936	0.07943	0.15277	0	0.73174	0.19968	0.1628	0.50999	0.23763	0.26987	0.27463	0	0.00671	0.16606	0.19411	0.1067	0.54604	0.08316	0.08994	0.82213	0.25395	0.06716	0.34192	0.13592	0.77843	0.03656	0.07471	0.88949	0.91901	0.12154	0	0.16914	0.03803	0.19766	0.34902	0.23772	0.00031	0.16728	0.78006	0.30699	0.5353	0.07211	0.31767	0.49395	0.56702	0.20179	0.11956	0.11301	0.03826	0.06624	0.22161	0.12188	0.03478	0.03955	0.04888	0.16207	0.12404	0.6011	0.28912	0.48342	0.64736	0.03775	0.49547
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.1289	0.84343	0.10235	5.25192	0.00833	0.16043	0.0626	0.22724	0.01034	1.70381	0.08257	0.01265	6.12362	0.09058	0.0513	0.01231	0.00172	0.01744	1.61047	5e-04	0.01202	0.03751	1.0561	0.07493	1.1825	5.37157	1.48335	0.13914	0.92759	1.01903	0.01676	1.66238	0.77105	0.00524	0.11822	0.17705	2.06671	0.00838	1.70569	0.02227	0.29083	0	0.01895	0.00045	0.01277	0.04177	0.00885	0.71101	0.00841	0.02253	0.16999	0.03042	0.01828	0.00557	0.01223	0.00148	0.0111	6.38462	0.03837	2.01469	1.58769	8.46164	0.56493	0.53155	1.93411	0.02308	1.14727	2.69946	0.00736	0.04986
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.07242	0.23894	0.05658	0.82969	0.2747	0.0509	0.21291	0.04678	1.63321	0.22612	0.4124	0.09598	0.15532	0.37574	0.19934	0.03456	0.22283	0.07467	0.48331	0.02784	0.1246	0.17027	0.03169	0.1817	0.07197	0.04807	0.21204	0.18228	0.17712	0.43424	0.22817	0.6716	0.13323	0.00935	0.03198	0.07234	0.06058	0.00359	0.17514	0.17224	0.06359	1.31195	0.01644	0.09271	0.02486	0.51321	0.06795	0.29907	0.21087	0.02153	0.12417	0.2931	0.07242	0.42511	0.14249	0.07631	0.08071	0.07143	0.08866	0.26535	0.01008	0.13036	0.19854	0.17346	0.38214	0.35083	0.23378	0.08684	0.20594	0.00953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.06722	0.3145	0	3.39545	1.72854	0.05914	0.32057	0.1428	1.23469	0.39318	0.23102	0.16106	0.05452	0.05446	0.18676	0.4587	1.02969	0.10324	2.14499	0.1693	0.31137	0.81984	0.07019	0.61989	0.28038	1.78471	0.23313	0.4803	1.07016	1.43572	2.62409	1.64398	0.45427	0.06237	0.648	0.02933	0.38978	0	1.1274	1.32362	0.11793	4.98677	0.0158	0.02169	0.02409	0.59996	0.07669	0.33042	0.01106	0.00441	1.26285	0.54317	0.18735	0.31118	0.31716	0.09617	0.1159	0.05147	0.55378	0.22323	0.59628	0.03359	0.09898	0.97421	2.48791	7.03131	0.60586	0.46108	0.23047	0.16594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.06229	0.03461	0.08117	0.131	0.034	0.48264	0.1025	1.06744	0.04715	0.18319	0.36997	0.22308	0.22042	0.04243	0.29139	0.20256	0.08259	0.13053	0.33725	0.0106	0.35794	0.03346	0.03344	0.24945	0.09739	0.11885	0.36247	0.14385	1.27093	0.16104	0.06174	0.06229	0.8373	0.04187	0.62917	0.10348	0.0873	0.04539	0.16004	0.16146	0.19399	0.079	0.15467	0.03597	0.09434	0.26714	0.14473	0.64271	0.07025	0.09509	0.43692	0.17803	0.06986	0.08408	0.13575	0.04402	0.02496	0.15294	0.11304	0.10454	0.24942	0.18592	0.78479	0.41016	1.00287	0.16769	0.18516	1.26305	0.05582	0.15485
